,Level1,Level2,Level3,Level4,Total
613,2008-2011,2,Policy Search for Motor Primitives in Robotics,Probabilistic Movement Primitives,1
614,2008-2011,2,Policy Search for Motor Primitives in Robotics,Model-Based Relative Entropy Stochastic Search,1
615,2011-2014,3,Searching for objects driven by context,Learning Generative Models with Visual Attention,1
616,2005-2008,4,High-Dimensional Graphical Model Selection Using ,Learning Networks of Stochastic Differential Equations,1
617,2008-2011,5,Double Q-learning,Speedy Q-Learning,1
618,2008-2011,5,Double Q-learning,Learning values across many orders of magnitude,1
619,2011-2014,6,A Geometric take on Metric Learning,Similarity Component Analysis,1
620,2014-2017,7,Learning feed-forward one-shot learners,Combining Low-Density Separators with CNNs,1
621,2011-2014,8,Exploiting easy data in online optimization,The Pareto Regret Frontier for Bandits,1
622,2011-2014,8,Exploiting easy data in online optimization,Following the Leader and Fast Rates in Linear Prediction: Curved Constraint Sets and Other Regularities,1
623,2011-2014,8,Exploiting easy data in online optimization,Combining Adversarial Guarantees and Stochastic Fast Rates in Online Learning,1
624,2014-2017,9,Exploiting easy data in online optimization,The Pareto Regret Frontier for Bandits,1
625,2014-2017,9,Exploiting easy data in online optimization,Following the Leader and Fast Rates in Linear Prediction: Curved Constraint Sets and Other Regularities,1
626,2014-2017,9,Exploiting easy data in online optimization,Combining Adversarial Guarantees and Stochastic Fast Rates in Online Learning,1
627,2002-2005,10,Analysis of a greedy active learning strategy,Active Learning for Anomaly and Rare-Category Detection,1
628,2002-2005,10,Analysis of a greedy active learning strategy,Query by Committee Made Real,1
629,2002-2005,10,Analysis of a greedy active learning strategy,Coarse sample complexity bounds for active learning,1
630,2002-2005,10,Analysis of a greedy active learning strategy,Noisy Generalized Binary Search,1
631,2002-2005,10,Analysis of a greedy active learning strategy,Multi-View Active Learning in the Non-Realizable Case,1
632,2002-2005,10,Analysis of a greedy active learning strategy,Near-Optimal Bayesian Active Learning with Noisy Observations,1
633,2002-2005,10,Analysis of a greedy active learning strategy,Extensions of Generalized Binary Search to Group Identification and Exponential Costs,1
634,2002-2005,10,Analysis of a greedy active learning strategy,Adaptive Submodular Maximization in Bandit Setting,1
635,2002-2005,10,Analysis of a greedy active learning strategy,Auditing: Active Learning with Outcome-Dependent Query Costs,1
636,2002-2005,10,Analysis of a greedy active learning strategy,Beyond Disagreement-Based Agnostic Active Learning,1
637,2002-2005,10,Analysis of a greedy active learning strategy,Budgeted stream-based active learning via adaptive submodular maximization,1
638,2002-2005,10,Analysis of a greedy active learning strategy,Active Nearest-Neighbor Learning in Metric Spaces,1
639,2002-2005,11,Discriminative Fields for Modeling Spatial Dependencies in Natural Images,A Primal-Dual Message-Passing Algorithm for Approximated Large Scale Structured Prediction,1
640,2005-2008,12,Phase transitions for high-dimensional joint support recovery,Group Sparse Coding,1
641,2008-2011,13,Phase transitions for high-dimensional joint support recovery,Group Sparse Coding,1
642,2008-2011,0,Spike timing-dependent plasticity as dynamic filter,Towards a learning-theoretic analysis of spike-timing dependent plasticity,1
643,2011-2014,1,Delay Compensation with Dynamical Synapses,Spike Frequency Adaptation Implements Anticipative Tracking in Continuous Attractor Neural Networks,1
644,2011-2014,2,Near-optimal sample compression for nearest neighbors,Active Nearest-Neighbor Learning in Metric Spaces,1
645,2014-2017,3,Near-optimal sample compression for nearest neighbors,Active Nearest-Neighbor Learning in Metric Spaces,1
646,2008-2011,4,Optimal learning rates for least squares SVMs using Gaussian kernels,A Stochastic Gradient Method with an Exponential Convergence _Rate for Finite Training Sets,1
647,2011-2014,5,Optimal learning rates for least squares SVMs using Gaussian kernels,A Stochastic Gradient Method with an Exponential Convergence _Rate for Finite Training Sets,1
648,1993-1996,6,Generalization in Reinforcement Learning: Safely Approximating the Value Function,Convergent Temporal-Difference Learning with Arbitrary Smooth Function Approximation,1
649,1999-2002,7,Exponential Family PCA for Belief Compression in POMDPs,Timely Object Recognition,1
650,2002-2005,8,Exponential Family PCA for Belief Compression in POMDPs,Timely Object Recognition,1
651,2014-2017,9,Combinatorial Bandits Revisited,Combinatorial semi-bandit with known covariance,1
652,1999-2002,10,Algorithms for Non-negative Matrix Factorization,Simplicial Mixtures of Markov Chains: Distributed Modelling of Dynamic User Profiles,1
653,1999-2002,10,Algorithms for Non-negative Matrix Factorization,Sparse Overcomplete Latent Variable Decomposition of Counts Data,1
654,1999-2002,10,Algorithms for Non-negative Matrix Factorization,Capturing Semantically Meaningful Word Dependencies with an Admixture of Poisson MRFs,1
655,2005-2008,11,Map-Reduce for Machine Learning on Multicore,Large-scale L-BFGS using MapReduce,1
656,1999-2002,12,Bayesian time series classification,Adaptive Classification by Variational Kalman Filtering,1
657,1996-1999,13,Learning from Dyadic Data,Kernel Expansions with Unlabeled Examples,1
658,2002-2005,0,Two-Dimensional Linear Discriminant Analysis,Tensor Subspace Analysis,1
659,2002-2005,1,Modeling User Rating Profiles For Collaborative Filtering,Unsupervised Feature Selection for Accurate Recommendation of High-Dimensional Image Data,1
660,2005-2008,2,Greedy Layer-Wise Training of Deep Networks,Natural Image Denoising with Convolutional Networks,1
661,2005-2008,2,Greedy Layer-Wise Training of Deep Networks,Deep Spatio-Temporal Architectures and Learning for Protein Structure Prediction,1
662,2008-2011,3,Improved Algorithms for Linear Stochastic Bandits,Combinatorial semi-bandit with known covariance,1
663,2011-2014,4,Improved Algorithms for Linear Stochastic Bandits,Combinatorial semi-bandit with known covariance,1
664,1999-2002,5,Bayesian Monte Carlo,Bayesian Policy Gradient Algorithms,1
665,1999-2002,5,Bayesian Monte Carlo,Active Learning of Model Evidence Using Bayesian Quadrature,1
666,1999-2002,5,Bayesian Monte Carlo,Sampling for Inference in Probabilistic Models with Fast Bayesian Quadrature,1
667,1999-2002,5,Bayesian Monte Carlo,Frank-Wolfe Bayesian Quadrature: Probabilistic Integration with Theoretical Guarantees,1
668,2002-2005,6,Bayesian Monte Carlo,Bayesian Policy Gradient Algorithms,1
669,2002-2005,6,Bayesian Monte Carlo,Active Learning of Model Evidence Using Bayesian Quadrature,1
670,2002-2005,6,Bayesian Monte Carlo,Sampling for Inference in Probabilistic Models with Fast Bayesian Quadrature,1
671,2002-2005,6,Bayesian Monte Carlo,Frank-Wolfe Bayesian Quadrature: Probabilistic Integration with Theoretical Guarantees,1
672,2005-2008,7,A neural network implementing optimal state estimation based on dynamic spike train decoding,Analytical Results for the Error in Filtering of Gaussian Processes,1
673,1990-1993,8,The Power of Amnesia,The Infinite Markov Model,1
674,1993-1996,9,The Power of Amnesia,The Infinite Markov Model,1
675,2008-2011,10,Multi-armed bandits on implicit metric spaces,Optimistic Optimization of a Deterministic Function without the Knowledge of its Smoothness,1
676,2011-2014,11,Multi-armed bandits on implicit metric spaces,Optimistic Optimization of a Deterministic Function without the Knowledge of its Smoothness,1
677,2008-2011,12,Slow Learners are Fast,Delay-Tolerant Algorithms for Asynchronous Distributed Online Learning,1
678,2011-2014,13,Tight convex relaxations for sparse matrix factorization,Sparse PCA via Bipartite Matchings,1
679,2011-2014,13,Tight convex relaxations for sparse matrix factorization,Unified View of Matrix Completion under General Structural Constraints,1
680,2014-2017,0,Tight convex relaxations for sparse matrix factorization,Sparse PCA via Bipartite Matchings,1
681,2014-2017,0,Tight convex relaxations for sparse matrix factorization,Unified View of Matrix Completion under General Structural Constraints,1
682,2014-2017,1,Convergence rates of sub-sampled Newton methods,Newton-Stein Method: A Second Order Method for GLMs via Stein's Lemma,1
683,2014-2017,1,Convergence rates of sub-sampled Newton methods,Sub-sampled Newton Methods with Non-uniform Sampling,1
684,2014-2017,1,Convergence rates of sub-sampled Newton methods,Adaptive Newton Method for Empirical Risk Minimization to Statistical Accuracy,1
685,2005-2008,2,Subordinate class recognition using relational object models,"Beyond Novelty Detection: Incongruent Events, when General and Specific Classifiers Disagree",1
686,2005-2008,3,Non-stationary dynamic Bayesian networks,Non-stationary continuous dynamic Bayesian networks,1
687,2005-2008,3,Non-stationary dynamic Bayesian networks,Inter-time segment information sharing for non-homogeneous dynamic Bayesian networks,1
688,2008-2011,4,Non-stationary dynamic Bayesian networks,Non-stationary continuous dynamic Bayesian networks,1
689,2008-2011,4,Non-stationary dynamic Bayesian networks,Inter-time segment information sharing for non-homogeneous dynamic Bayesian networks,1
690,1996-1999,5,Learning Mixture Hierarchies,A MCMC Approach to Hierarchical Mixture Modelling,1
691,2011-2014,6,Practical Bayesian Optimization of Machine Learning Algorithms,Preconditioned Spectral Descent for Deep Learning,1
692,2011-2014,6,Practical Bayesian Optimization of Machine Learning Algorithms,Parallel Predictive Entropy Search for Batch Global Optimization of Expensive Objective Functions,1
693,2011-2014,6,Practical Bayesian Optimization of Machine Learning Algorithms,Regularization Path of Cross-Validation Error Lower Bounds,1
694,2011-2014,6,Practical Bayesian Optimization of Machine Learning Algorithms,Gaussian Process Bandit Optimisation with Multi-fidelity Evaluations,1
695,2005-2008,7,Bayesian Agglomerative Clustering with Coalescents,The Infinite Hierarchical Factor Regression Model,1
696,1987-1990,8,The Cascade-Correlation Learning Architecture,Leaning by Combining Memorization and Gradient Descent,1
697,1987-1990,8,The Cascade-Correlation Learning Architecture,The Tempo 2 Algorithm: Adjusting Time-Delays By Supervised Learning,1
698,1987-1990,8,The Cascade-Correlation Learning Architecture,Supervised Learning with Growing Cell Structures,1
699,1987-1990,8,The Cascade-Correlation Learning Architecture,Dynamic Cell Structures,1
700,1990-1993,9,Networks with Learned Unit Response Functions,Perturbing Hebbian Rules,1
701,1987-1990,10,Stochastic Neurodynamics,Stochastic Dynamics of Three-State Neural Networks,1
702,1990-1993,11,Stochastic Neurodynamics,Stochastic Dynamics of Three-State Neural Networks,1
703,2005-2008,12,Support Vector Machine Classification with Indefinite Kernels,Supervised Learning with Similarity Functions,1
704,1999-2002,13,Feature Selection for SVMs,From Lasso regression to Feature vector machine,1
705,2008-2011,0,Energy Disaggregation via Discriminative Sparse Coding,SDP Relaxation with Randomized Rounding for Energy Disaggregation,1
706,2005-2008,1,Stochastic Relational Models for Discriminative Link Prediction,Multi-task Gaussian Process Prediction,1
707,2008-2011,2,Brain covariance selection: better individual functional connectivity models using population prior,Robust Multimodal Graph Matching: Sparse Coding Meets Graph Matching,1
708,1990-1993,3,Practical Issues in Temporal Difference Learning,Stable LInear Approximations to Dynamic Programming for Stochastic Control Problems with Local Transitions,1
709,1990-1993,3,Practical Issues in Temporal Difference Learning,Improving Elevator Performance Using Reinforcement Learning,1
